label,text,tokenize,remove_stopwords,stemming
Positive,kpk bekerja sama dengan kementrian kelautan dan perikanan memastikan bahwa regulasi turunan dari uu cipta kerja men,"['kpk', 'bekerja', 'sama', 'dengan', 'kementrian', 'kelautan', 'dan', 'perikanan', 'memastikan', 'bahwa', 'regulasi', 'turunan', 'dari', 'uu', 'cipta', 'kerja', 'men']","['kpk', 'kementrian', 'kelautan', 'perikanan', 'regulasi', 'turunan', 'uu', 'cipta', 'kerja', 'men']","['kpk', 'tri', 'laut', 'ikan', 'regulasi', 'turun', 'uu', 'cipta', 'kerja', 'men']"
Positive,uu cipta kerja mendorong pengembangan industri halal di indonesia,"['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'di', 'indonesia']","['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'indonesia']","['uu', 'cipta', 'kerja', 'dorong', 'kembang', 'industri', 'halal', 'indonesia']"
Positive,melalui uu cipta kerja umkm mendapatkan dukungan kemudahan perlindungan dan pemberdayaan agar semakin berkembang,"['melalui', 'uu', 'cipta', 'kerja', 'umkm', 'mendapatkan', 'dukungan', 'kemudahan', 'perlindungan', 'dan', 'pemberdayaan', 'agar', 'semakin', 'berkembang']","['uu', 'cipta', 'kerja', 'umkm', 'dukungan', 'kemudahan', 'perlindungan', 'pemberdayaan', 'berkembang']","['uu', 'cipta', 'kerja', 'umkm', 'dukung', 'mudah', 'lindung', 'daya', 'kembang']"
Positive,uu cipta kerja hadir sebagai solusi untuk meningkatkan perekonomian nasional disektor perikanan dan kelautan,"['uu', 'cipta', 'kerja', 'hadir', 'sebagai', 'solusi', 'untuk', 'meningkatkan', 'perekonomian', 'nasional', 'disektor', 'perikanan', 'dan', 'kelautan']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'meningkatkan', 'perekonomian', 'nasional', 'disektor', 'perikanan', 'kelautan']","['uu', 'cipta', 'kerja', 'hadir', 'solusi', 'tingkat', 'ekonomi', 'nasional', 'sektor', 'ikan', 'laut']"
Negative,dirangkum dr tulisan dipna videlia putsanra oktober ndg berlakunya uu cipta kerja maka terdapat masalah mendasar m,"['dirangkum', 'dr', 'tulisan', 'dipna', 'videlia', 'putsanra', 'oktober', 'ndg', 'berlakunya', 'uu', 'cipta', 'kerja', 'maka', 'terdapat', 'masalah', 'mendasar', 'm']","['dirangkum', 'dr', 'tulisan', 'dipna', 'videlia', 'putsanra', 'oktober', 'ndg', 'berlakunya', 'uu', 'cipta', 'kerja', 'mendasar', 'm']","['rangkum', 'dr', 'tulis', 'dipna', 'videlia', 'putsanra', 'oktober', 'ndg', 'laku', 'uu', 'cipta', 'kerja', 'dasar', 'm']"
Positive,menurut fakultas hukum ugm uu cipta kerja mengabaikan keadilan sosial dan aspek lingkungan merenda,"['menurut', 'fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'mengabaikan', 'keadilan', 'sosial', 'dan', 'aspek', 'lingkungan', 'merenda']","['fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'mengabaikan', 'keadilan', 'sosial', 'aspek', 'lingkungan', 'merenda']","['fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'abai', 'adil', 'sosial', 'aspek', 'lingkung', 'renda']"
Positive,awal februari presiden mengesahkan peraturan pelaksana sebagai turunan uu cipta kerja jumlah itu masih mung,"['awal', 'februari', 'presiden', 'mengesahkan', 'peraturan', 'pelaksana', 'sebagai', 'turunan', 'uu', 'cipta', 'kerja', 'jumlah', 'itu', 'masih', 'mung']","['februari', 'presiden', 'mengesahkan', 'peraturan', 'pelaksana', 'turunan', 'uu', 'cipta', 'kerja', 'mung']","['februari', 'presiden', 'kesah', 'atur', 'laksana', 'turun', 'uu', 'cipta', 'kerja', 'mung']"
Positive,menurut fakultas hukum ugm uu cipta kerja mengabaikan keadilan sosial dan aspek lingkungan n,"['menurut', 'fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'mengabaikan', 'keadilan', 'sosial', 'dan', 'aspek', 'lingkungan', 'n']","['fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'mengabaikan', 'keadilan', 'sosial', 'aspek', 'lingkungan', 'n']","['fakultas', 'hukum', 'ugm', 'uu', 'cipta', 'kerja', 'abai', 'adil', 'sosial', 'aspek', 'lingkung', 'n']"
Neutral,tadi sore baruuuu bgt ikut pengarahan ttg klbi wajiamdal ukl upl samalk dalam kaitannya dengan penyesuaian,"['tadi', 'sore', 'baruuuu', 'bgt', 'ikut', 'pengarahan', 'ttg', 'klbi', 'wajiamdal', 'ukl', 'upl', 'samalk', 'dalam', 'kaitannya', 'dengan', 'penyesuaian']","['sore', 'baruuuu', 'bgt', 'pengarahan', 'ttg', 'klbi', 'wajiamdal', 'ukl', 'upl', 'samalk', 'kaitannya', 'penyesuaian']","['sore', 'baruuuu', 'bgt', 'arah', 'ttg', 'klbi', 'wajiamdal', 'ukl', 'upl', 'samalk', 'kait', 'sesuai']"
Positive,hi sobat citata nyuk ikuti webinar series dcktrp tema peran pelaku teknis bangunan dalam kemajuan kota jakarta nbagi yg,"['hi', 'sobat', 'citata', 'nyuk', 'ikuti', 'webinar', 'series', 'dcktrp', 'tema', 'peran', 'pelaku', 'teknis', 'bangunan', 'dalam', 'kemajuan', 'kota', 'jakarta', 'nbagi', 'yg']","['hi', 'sobat', 'citata', 'nyuk', 'ikuti', 'webinar', 'series', 'dcktrp', 'tema', 'peran', 'pelaku', 'teknis', 'bangunan', 'kemajuan', 'kota', 'jakarta', 'nbagi', 'yg']","['hi', 'sobat', 'citata', 'nyuk', 'ikut', 'webinar', 'series', 'dcktrp', 'tema', 'peran', 'laku', 'teknis', 'bangun', 'maju', 'kota', 'jakarta', 'nbagi', 'yg']"
Neutral,uu cipta kerja terkait pasal migrasi penyiaran dari teresterial ke digital atau analog switch off aso berpotensi,"['uu', 'cipta', 'kerja', 'terkait', 'pasal', 'migrasi', 'penyiaran', 'dari', 'teresterial', 'ke', 'digital', 'atau', 'analog', 'switch', 'off', 'aso', 'berpotensi']","['uu', 'cipta', 'kerja', 'terkait', 'pasal', 'migrasi', 'penyiaran', 'teresterial', 'digital', 'analog', 'switch', 'off', 'aso', 'berpotensi']","['uu', 'cipta', 'kerja', 'kait', 'pasal', 'migrasi', 'siar', 'teresterial', 'digital', 'analog', 'switch', 'off', 'aso', 'potensi']"
Positive,selain implementasi uu cipta kerja joko juga menyebut beberapa tantangan lain yang akan dihadapi industri sawit ta,"['selain', 'implementasi', 'uu', 'cipta', 'kerja', 'joko', 'juga', 'menyebut', 'beberapa', 'tantangan', 'lain', 'yang', 'akan', 'dihadapi', 'industri', 'sawit', 'ta']","['implementasi', 'uu', 'cipta', 'kerja', 'joko', 'menyebut', 'tantangan', 'dihadapi', 'industri', 'sawit', 'ta']","['implementasi', 'uu', 'cipta', 'kerja', 'joko', 'sebut', 'tantang', 'hadap', 'industri', 'sawit', 'ta']"
Neutral,enam pp turunan uu cipta kerja yang terkait dengan industri sawit yaitu pp tentang penertiban kawasan dan,"['enam', 'pp', 'turunan', 'uu', 'cipta', 'kerja', 'yang', 'terkait', 'dengan', 'industri', 'sawit', 'yaitu', 'pp', 'tentang', 'penertiban', 'kawasan', 'dan']","['enam', 'pp', 'turunan', 'uu', 'cipta', 'kerja', 'terkait', 'industri', 'sawit', 'pp', 'penertiban', 'kawasan']","['enam', 'pp', 'turun', 'uu', 'cipta', 'kerja', 'kait', 'industri', 'sawit', 'pp', 'tertib', 'kawasan']"
Neutral,pengaturan dalam enam peraturan pemerintah pp yang sudah terbit secara umum menurutnya sudah sesuai dengan tujuan,"['pengaturan', 'dalam', 'enam', 'peraturan', 'pemerintah', 'pp', 'yang', 'sudah', 'terbit', 'secara', 'umum', 'menurutnya', 'sudah', 'sesuai', 'dengan', 'tujuan']","['pengaturan', 'enam', 'peraturan', 'pemerintah', 'pp', 'terbit', 'menurutnya', 'sesuai', 'tujuan']","['atur', 'enam', 'atur', 'perintah', 'pp', 'terbit', 'turut', 'sesuai', 'tuju']"
Positive,yes besok libur kan enak nih hmm btw uu cipta kerja bisa beri kepastian hukum untuk investasi industri sawit lho kuy simak,"['yes', 'besok', 'libur', 'kan', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'bisa', 'beri', 'kepastian', 'hukum', 'untuk', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'simak']","['yes', 'besok', 'libur', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'kepastian', 'hukum', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'simak']","['yes', 'besok', 'libur', 'enak', 'nih', 'hmm', 'btw', 'uu', 'cipta', 'kerja', 'pasti', 'hukum', 'investasi', 'industri', 'sawit', 'lho', 'kuy', 'simak']"
Positive,uu cipta kerja untuk rakyat sejahtera ikatancintaep,"['uu', 'cipta', 'kerja', 'untuk', 'rakyat', 'sejahtera', 'ikatancintaep']","['uu', 'cipta', 'kerja', 'rakyat', 'sejahtera', 'ikatancintaep']","['uu', 'cipta', 'kerja', 'rakyat', 'sejahtera', 'ikatancintaep']"
Positive,uu cipta kerja mendorong pengembangan industri halal wayv_kick_back,"['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'wayv_kick_back']","['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'wayv_kick_back']","['uu', 'cipta', 'kerja', 'dorong', 'kembang', 'industri', 'halal', 'wayv kick back']"
Positive,uu cipta kerja menjadi surga bagi pelaku ekonomi ikatancintaep,"['uu', 'cipta', 'kerja', 'menjadi', 'surga', 'bagi', 'pelaku', 'ekonomi', 'ikatancintaep']","['uu', 'cipta', 'kerja', 'surga', 'pelaku', 'ekonomi', 'ikatancintaep']","['uu', 'cipta', 'kerja', 'surga', 'laku', 'ekonomi', 'ikatancintaep']"
Neutral,regulasi turunan uu cipta kerja jaga sumber daya kelautan isramiraj,"['regulasi', 'turunan', 'uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'kelautan', 'isramiraj']","['regulasi', 'turunan', 'uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'kelautan', 'isramiraj']","['regulasi', 'turun', 'uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'laut', 'isramiraj']"
Positive,kkp bergerak cepat dalam merespons regulasi turunan dari uu cipta kerja yakni pp nomor tahun tentang,"['kkp', 'bergerak', 'cepat', 'dalam', 'merespons', 'regulasi', 'turunan', 'dari', 'uu', 'cipta', 'kerja', 'yakni', 'pp', 'nomor', 'tahun', 'tentang']","['kkp', 'bergerak', 'cepat', 'merespons', 'regulasi', 'turunan', 'uu', 'cipta', 'kerja', 'pp', 'nomor']","['kkp', 'gerak', 'cepat', 'respons', 'regulasi', 'turun', 'uu', 'cipta', 'kerja', 'pp', 'nomor']"
Positive,uu cipta kerja uuciptakerja,"['uu', 'cipta', 'kerja', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'uuciptakerja']"
Neutral,uu cipta kerja indonesia maju,"['uu', 'cipta', 'kerja', 'indonesia', 'maju']","['uu', 'cipta', 'kerja', 'indonesia', 'maju']","['uu', 'cipta', 'kerja', 'indonesia', 'maju']"
Positive,dukung uu cipta kerja ciptakerja,"['dukung', 'uu', 'cipta', 'kerja', 'ciptakerja']","['dukung', 'uu', 'cipta', 'kerja', 'ciptakerja']","['dukung', 'uu', 'cipta', 'kerja', 'ciptakerja']"
Positive,uu cipta kerja jaga sumber daya kelautan ciptakerja,"['uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'kelautan', 'ciptakerja']","['uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'kelautan', 'ciptakerja']","['uu', 'cipta', 'kerja', 'jaga', 'sumber', 'daya', 'laut', 'ciptakerja']"
Positive,uu cipta kerja mendorong pengembangan industri halal uuciptakerja,"['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'mendorong', 'pengembangan', 'industri', 'halal', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'dorong', 'kembang', 'industri', 'halal', 'uuciptakerja']"
Neutral,pemerintah kini justru mengesahkan peraturan pelaksana uu cipta kerja yang terdiri dari peraturan pemerintah,"['pemerintah', 'kini', 'justru', 'mengesahkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'yang', 'terdiri', 'dari', 'peraturan', 'pemerintah']","['pemerintah', 'mengesahkan', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'peraturan', 'pemerintah']","['perintah', 'kesah', 'atur', 'laksana', 'uu', 'cipta', 'kerja', 'atur', 'perintah']"
Positive,uu cipta kerja mampu mempermudah usaha uuciptakerja,"['uu', 'cipta', 'kerja', 'mampu', 'mempermudah', 'usaha', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'mempermudah', 'usaha', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'mudah', 'usaha', 'uuciptakerja']"
Positive,melalui uu cipta kerja umkm dan koperasi dipermudah uuciptakerja,"['melalui', 'uu', 'cipta', 'kerja', 'umkm', 'dan', 'koperasi', 'dipermudah', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'umkm', 'koperasi', 'dipermudah', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'umkm', 'koperasi', 'mudah', 'uuciptakerja']"
Positive,uu cipta kerja lindungi pekerja lokal,"['uu', 'cipta', 'kerja', 'lindungi', 'pekerja', 'lokal']","['uu', 'cipta', 'kerja', 'lindungi', 'pekerja', 'lokal']","['uu', 'cipta', 'kerja', 'lindung', 'kerja', 'lokal']"
Positive,uu cipta kerja lindungi ekosistem alam,"['uu', 'cipta', 'kerja', 'lindungi', 'ekosistem', 'alam']","['uu', 'cipta', 'kerja', 'lindungi', 'ekosistem', 'alam']","['uu', 'cipta', 'kerja', 'lindung', 'ekosistem', 'alam']"
Neutral,ini alasan mengapa uu cipta kerja dibutuhkan,"['ini', 'alasan', 'mengapa', 'uu', 'cipta', 'kerja', 'dibutuhkan']","['alasan', 'uu', 'cipta', 'kerja', 'dibutuhkan']","['alas', 'uu', 'cipta', 'kerja', 'butuh']"
Negative,uu cipta kerja kurangi pengangguran,"['uu', 'cipta', 'kerja', 'kurangi', 'pengangguran']","['uu', 'cipta', 'kerja', 'kurangi', 'pengangguran']","['uu', 'cipta', 'kerja', 'kurang', 'anggur']"
Positive,uu cipta kerja meningkatkan daya saing industri nasional di tingkat global,"['uu', 'cipta', 'kerja', 'meningkatkan', 'daya', 'saing', 'industri', 'nasional', 'di', 'tingkat', 'global']","['uu', 'cipta', 'kerja', 'meningkatkan', 'daya', 'saing', 'industri', 'nasional', 'tingkat', 'global']","['uu', 'cipta', 'kerja', 'tingkat', 'daya', 'saing', 'industri', 'nasional', 'tingkat', 'global']"
Negative,bersama dukung uu cipta kerja untuk berantas kemiskinan,"['bersama', 'dukung', 'uu', 'cipta', 'kerja', 'untuk', 'berantas', 'kemiskinan']","['dukung', 'uu', 'cipta', 'kerja', 'berantas', 'kemiskinan']","['dukung', 'uu', 'cipta', 'kerja', 'berantas', 'miskin']"
Positive,uu cipta kerja adalah inovasi untuk kemajuan negeri,"['uu', 'cipta', 'kerja', 'adalah', 'inovasi', 'untuk', 'kemajuan', 'negeri']","['uu', 'cipta', 'kerja', 'inovasi', 'kemajuan', 'negeri']","['uu', 'cipta', 'kerja', 'inovasi', 'maju', 'negeri']"
Neutral,sebelum pemberlakukan uu cipta kerja dan perpres ini nsudah ada izin yg keluar izin untuk minuman beralkohol berad,"['sebelum', 'pemberlakukan', 'uu', 'cipta', 'kerja', 'dan', 'perpres', 'ini', 'nsudah', 'ada', 'izin', 'yg', 'keluar', 'izin', 'untuk', 'minuman', 'beralkohol', 'berad']","['pemberlakukan', 'uu', 'cipta', 'kerja', 'perpres', 'nsudah', 'izin', 'yg', 'izin', 'minuman', 'beralkohol', 'berad']","['laku', 'uu', 'cipta', 'kerja', 'pres', 'nsudah', 'izin', 'yg', 'izin', 'minum', 'alkohol', 'rad']"
Positive,uu cipta kerja payung hukum pasca pandemi,"['uu', 'cipta', 'kerja', 'payung', 'hukum', 'pasca', 'pandemi']","['uu', 'cipta', 'kerja', 'payung', 'hukum', 'pasca', 'pandemi']","['uu', 'cipta', 'kerja', 'payung', 'hukum', 'pasca', 'pandemi']"
Positive,pangakas birokrasi dengan uu cipta kerja,"['pangakas', 'birokrasi', 'dengan', 'uu', 'cipta', 'kerja']","['pangakas', 'birokrasi', 'uu', 'cipta', 'kerja']","['pangakas', 'birokrasi', 'uu', 'cipta', 'kerja']"
Positive,jaminan perlindungan pekerja ter phk dengan uu cipta kerja,"['jaminan', 'perlindungan', 'pekerja', 'ter', 'phk', 'dengan', 'uu', 'cipta', 'kerja']","['jaminan', 'perlindungan', 'pekerja', 'ter', 'phk', 'uu', 'cipta', 'kerja']","['jamin', 'lindung', 'kerja', 'ter', 'phk', 'uu', 'cipta', 'kerja']"
Negative,ketentuan larangan praktek monopoli dan persaingan usaha tidak sehat pasca uu cipta kerja omnibus law,"['ketentuan', 'larangan', 'praktek', 'monopoli', 'dan', 'persaingan', 'usaha', 'tidak', 'sehat', 'pasca', 'uu', 'cipta', 'kerja', 'omnibus', 'law']","['ketentuan', 'larangan', 'praktek', 'monopoli', 'persaingan', 'usaha', 'sehat', 'pasca', 'uu', 'cipta', 'kerja', 'omnibus', 'law']","['tentu', 'larang', 'praktek', 'monopoli', 'saing', 'usaha', 'sehat', 'pasca', 'uu', 'cipta', 'kerja', 'omnibus', 'law']"
Positive,melalui uu cipta kerja dan aturan pelaksananya pemerintah telah memberikan kemudahan bagi pengusaha mikro dan kecil untuk,"['melalui', 'uu', 'cipta', 'kerja', 'dan', 'aturan', 'pelaksananya', 'pemerintah', 'telah', 'memberikan', 'kemudahan', 'bagi', 'pengusaha', 'mikro', 'dan', 'kecil', 'untuk']","['uu', 'cipta', 'kerja', 'aturan', 'pelaksananya', 'pemerintah', 'kemudahan', 'pengusaha', 'mikro']","['uu', 'cipta', 'kerja', 'atur', 'laksana', 'perintah', 'mudah', 'usaha', 'mikro']"
Positive,bersama uu cipta kerja untuk mensejahterakan para pekerja dan buruh menjadi lebih baik uuciptakerja,"['bersama', 'uu', 'cipta', 'kerja', 'untuk', 'mensejahterakan', 'para', 'pekerja', 'dan', 'buruh', 'menjadi', 'lebih', 'baik', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'mensejahterakan', 'pekerja', 'buruh', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'sejahtera', 'kerja', 'buruh', 'uuciptakerja']"
Positive,melalui uu cipta kerja dan aturan pelaksananya pemerintah telah memberikan kemudahan bagi pengusaha mikro dan keci,"['melalui', 'uu', 'cipta', 'kerja', 'dan', 'aturan', 'pelaksananya', 'pemerintah', 'telah', 'memberikan', 'kemudahan', 'bagi', 'pengusaha', 'mikro', 'dan', 'keci']","['uu', 'cipta', 'kerja', 'aturan', 'pelaksananya', 'pemerintah', 'kemudahan', 'pengusaha', 'mikro', 'keci']","['uu', 'cipta', 'kerja', 'atur', 'laksana', 'perintah', 'mudah', 'usaha', 'mikro', 'keci']"
Positive,pihaknya sangat mendukung penggunaan alutsista produk dalam negeri dan berharap uu cipta kerja yang telah berlaku dapat me,"['pihaknya', 'sangat', 'mendukung', 'penggunaan', 'alutsista', 'produk', 'dalam', 'negeri', 'dan', 'berharap', 'uu', 'cipta', 'kerja', 'yang', 'telah', 'berlaku', 'dapat', 'me']","['mendukung', 'penggunaan', 'alutsista', 'produk', 'negeri', 'berharap', 'uu', 'cipta', 'kerja', 'berlaku', 'me']","['dukung', 'guna', 'alutsista', 'produk', 'negeri', 'harap', 'uu', 'cipta', 'kerja', 'laku', 'me']"
Positive,pemerintah melalui uu cipta kerja memberikan kemudahan bagi usaha mikro dan kecil dalam hal pembayaran upah bagaim,"['pemerintah', 'melalui', 'uu', 'cipta', 'kerja', 'memberikan', 'kemudahan', 'bagi', 'usaha', 'mikro', 'dan', 'kecil', 'dalam', 'hal', 'pembayaran', 'upah', 'bagaim']","['pemerintah', 'uu', 'cipta', 'kerja', 'kemudahan', 'usaha', 'mikro', 'pembayaran', 'upah', 'bagaim']","['perintah', 'uu', 'cipta', 'kerja', 'mudah', 'usaha', 'mikro', 'bayar', 'upah', 'bagaim']"
Positive,diskusi pendalam yang dilakukan tepi indonesia dan kn lwf terhadapp uu cipta kerja dan dua peraturan turunan yang me,"['diskusi', 'pendalam', 'yang', 'dilakukan', 'tepi', 'indonesia', 'dan', 'kn', 'lwf', 'terhadapp', 'uu', 'cipta', 'kerja', 'dan', 'dua', 'peraturan', 'turunan', 'yang', 'me']","['diskusi', 'pendalam', 'tepi', 'indonesia', 'kn', 'lwf', 'terhadapp', 'uu', 'cipta', 'kerja', 'peraturan', 'turunan', 'me']","['diskusi', 'dalam', 'tepi', 'indonesia', 'kn', 'lwf', 'terhadapp', 'uu', 'cipta', 'kerja', 'atur', 'turun', 'me']"
Neutral,gereja dan lembaga keagamaan perlu mengatisipasi indirect discrimination dari uu cipta kerja dan praturan turunanny,"['gereja', 'dan', 'lembaga', 'keagamaan', 'perlu', 'mengatisipasi', 'indirect', 'discrimination', 'dari', 'uu', 'cipta', 'kerja', 'dan', 'praturan', 'turunanny']","['gereja', 'lembaga', 'keagamaan', 'mengatisipasi', 'indirect', 'discrimination', 'uu', 'cipta', 'kerja', 'praturan', 'turunanny']","['gereja', 'lembaga', 'agama', 'mengatisipasi', 'indirect', 'discrimination', 'uu', 'cipta', 'kerja', 'praturan', 'turunanny']"
Negative,pshk kritik implementasi peraturan pelaksana uu cipta kerja via,"['pshk', 'kritik', 'implementasi', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'via']","['pshk', 'kritik', 'implementasi', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja', 'via']","['pshk', 'kritik', 'implementasi', 'atur', 'laksana', 'uu', 'cipta', 'kerja', 'via']"
Negative,pshk kritik implementasi peraturan pelaksana uu cipta kerja,"['pshk', 'kritik', 'implementasi', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja']","['pshk', 'kritik', 'implementasi', 'peraturan', 'pelaksana', 'uu', 'cipta', 'kerja']","['pshk', 'kritik', 'implementasi', 'atur', 'laksana', 'uu', 'cipta', 'kerja']"
Positive,badan pengelola keuangan haji bpkh menyambut positif stimulus pemerintah yang telah mengecualikan pajak penghasil,"['badan', 'pengelola', 'keuangan', 'haji', 'bpkh', 'menyambut', 'positif', 'stimulus', 'pemerintah', 'yang', 'telah', 'mengecualikan', 'pajak', 'penghasil']","['badan', 'pengelola', 'keuangan', 'haji', 'bpkh', 'menyambut', 'positif', 'stimulus', 'pemerintah', 'mengecualikan', 'pajak', 'penghasil']","['badan', 'kelola', 'uang', 'haji', 'bpkh', 'sambut', 'positif', 'stimulus', 'perintah', 'kecuali', 'pajak', 'hasil']"
Positive,hadi nugroho menyoroti mengenai pasar kerja fleksibel dalam uu cipta kerja menurutnya minimnya pengawasan dari pe,"['hadi', 'nugroho', 'menyoroti', 'mengenai', 'pasar', 'kerja', 'fleksibel', 'dalam', 'uu', 'cipta', 'kerja', 'menurutnya', 'minimnya', 'pengawasan', 'dari', 'pe']","['hadi', 'nugroho', 'menyoroti', 'pasar', 'kerja', 'fleksibel', 'uu', 'cipta', 'kerja', 'menurutnya', 'minimnya', 'pengawasan', 'pe']","['had', 'nugroho', 'sorot', 'pasar', 'kerja', 'fleksibel', 'uu', 'cipta', 'kerja', 'turut', 'minim', 'awas', 'pe']"
Positive,komisioner pengkajian dan penelitian sandrayati moniaga dalam pembukaannya berharap diskusi ini dapat menajamkan,"['komisioner', 'pengkajian', 'dan', 'penelitian', 'sandrayati', 'moniaga', 'dalam', 'pembukaannya', 'berharap', 'diskusi', 'ini', 'dapat', 'menajamkan']","['komisioner', 'pengkajian', 'penelitian', 'sandrayati', 'moniaga', 'pembukaannya', 'berharap', 'diskusi', 'menajamkan']","['komisioner', 'kaji', 'teliti', 'sandrayati', 'moniaga', 'buka', 'harap', 'diskusi', 'najam']"
Negative,tim pengkajian dan penelitian omnibus law melaksanakan fgd mengenai gambaran tren dan perkembangan uu no ta,"['tim', 'pengkajian', 'dan', 'penelitian', 'omnibus', 'law', 'melaksanakan', 'fgd', 'mengenai', 'gambaran', 'tren', 'dan', 'perkembangan', 'uu', 'no', 'ta']","['tim', 'pengkajian', 'penelitian', 'omnibus', 'law', 'melaksanakan', 'fgd', 'gambaran', 'tren', 'perkembangan', 'uu', 'no', 'ta']","['tim', 'kaji', 'teliti', 'omnibus', 'law', 'laksana', 'fgd', 'gambar', 'tren', 'kembang', 'uu', 'no', 'ta']"
Positive,sebelum uu cipta kerja perusahaan yang tidak sanggup membayar upah di atas upah minimum boleh melakukan penangguhan pemba,"['sebelum', 'uu', 'cipta', 'kerja', 'perusahaan', 'yang', 'tidak', 'sanggup', 'membayar', 'upah', 'di', 'atas', 'upah', 'minimum', 'boleh', 'melakukan', 'penangguhan', 'pemba']","['uu', 'cipta', 'kerja', 'perusahaan', 'sanggup', 'membayar', 'upah', 'upah', 'minimum', 'penangguhan', 'pemba']","['uu', 'cipta', 'kerja', 'usaha', 'sanggup', 'bayar', 'upah', 'upah', 'minimum', 'tangguh', 'pemba']"
Positive,alih alih menyederhanakan regulasi uu cipta kerja justru menciptakan banyak blangko kosong berupa pelimpahan pengaturan k,"['alih', 'alih', 'menyederhanakan', 'regulasi', 'uu', 'cipta', 'kerja', 'justru', 'menciptakan', 'banyak', 'blangko', 'kosong', 'berupa', 'pelimpahan', 'pengaturan', 'k']","['alih', 'alih', 'menyederhanakan', 'regulasi', 'uu', 'cipta', 'kerja', 'menciptakan', 'blangko', 'kosong', 'pelimpahan', 'pengaturan', 'k']","['alih', 'alih', 'sederhana', 'regulasi', 'uu', 'cipta', 'kerja', 'cipta', 'blangko', 'kosong', 'limpah', 'atur', 'k']"
Positive,di saat sulit seperti ini memang banyak masalah namun bersama dengan itu juga banyak peluangnya ada uu cipta kerja st,"['di', 'saat', 'sulit', 'seperti', 'ini', 'memang', 'banyak', 'masalah', 'namun', 'bersama', 'dengan', 'itu', 'juga', 'banyak', 'peluangnya', 'ada', 'uu', 'cipta', 'kerja', 'st']","['sulit', 'peluangnya', 'uu', 'cipta', 'kerja', 'st']","['sulit', 'peluang', 'uu', 'cipta', 'kerja', 'st']"
Positive,pihaknya sangat mendukung penggunaan alutsista produk dalam negeri dan berharap uu cipta kerja yang telah berlaku,"['pihaknya', 'sangat', 'mendukung', 'penggunaan', 'alutsista', 'produk', 'dalam', 'negeri', 'dan', 'berharap', 'uu', 'cipta', 'kerja', 'yang', 'telah', 'berlaku']","['mendukung', 'penggunaan', 'alutsista', 'produk', 'negeri', 'berharap', 'uu', 'cipta', 'kerja', 'berlaku']","['dukung', 'guna', 'alutsista', 'produk', 'negeri', 'harap', 'uu', 'cipta', 'kerja', 'laku']"
Positive,sebelum uu cipta kerja perusahaan yang tidak sanggup membayar upah di atas upah minimum boleh melakukan penangguha,"['sebelum', 'uu', 'cipta', 'kerja', 'perusahaan', 'yang', 'tidak', 'sanggup', 'membayar', 'upah', 'di', 'atas', 'upah', 'minimum', 'boleh', 'melakukan', 'penangguha']","['uu', 'cipta', 'kerja', 'perusahaan', 'sanggup', 'membayar', 'upah', 'upah', 'minimum', 'penangguha']","['uu', 'cipta', 'kerja', 'usaha', 'sanggup', 'bayar', 'upah', 'upah', 'minimum', 'penangguha']"
